0, 0, -0
-0.002544, 0.444929, -0.000819312
-0.00248481, 0.482754, -0.00127279
0.00182536, 0.769878, -0.0021079
-0.00260046, 1.40909, -0.00261553
-0.0126967, 3.02993, -0.00303295
-0.0372036, 4.32744, -0.00210098
-0.0407738, 5.35049, -0.00073106
-0.0500892, 5.83575, 0.000665928
-0.0533556, 6.21558, 0.00248975
-0.0533243, 6.24459, 0.00454526
-0.0565805, 6.74436, 0.00690693
-0.0629662, 7.28039, 0.00937736
-0.0789354, 8.22462, 0.0121889
-0.0950302, 9.70652, 0.0152937
-0.137408, 11.1746, 0.0178995
-0.139954, 11.3946, 0.0204474
-0.139656, 11.3849, 0.0228093
-0.139343, 11.3756, 0.0246259
-0.164414, 12.9341, 0.026372
-0.264956, 16.0029, 0.0280495
-0.326799, 17.8812, 0.0291829
-0.354903, 18.7083, 0.0299314
-0.364429, 19.2996, 0.0306741
-0.383149, 19.8447, 0.030377
-0.382812, 19.8368, 0.0302423
-0.462637, 22.0454, 0.0307386
-0.471943, 22.3902, 0.0312911
-0.57762, 25.2009, 0.0313993
-0.610566, 26.0559, 0.031535
-0.618708, 26.3817, 0.0318669
-0.622334, 26.4788, 0.0317973
-0.622149, 26.4715, 0.0322415
-0.655027, 27.7156, 0.0324982
-0.709363, 29.1375, 0.0331622
-0.789221, 32.5874, 0.0340885
-0.900319, 35.7046, 0.0353531
